SL No	Donor Name	Location Name	Latitude 	Longitude	Google location	No of Percolation well Constructed	Year of Completion	Zone	Ward Number	Location by Parks/Campuses
559	Limnotech	NPKL Layout Challaghatta Block 5 Nala Buffer Area	12.9050279	77.4555557	https://maps.app.goo.gl/fR44FXU2LCcG1iHj6	5	Mar-26	Outside GBA		BDA Parks
560	Astrazeneca	CID HQ	12.9815842	77.5828016	https://maps.app.goo.gl/ksjiAacr5LPoFUQt9	24	Mar-26	East Zone		Police campus
561	Astrazeneca	Freedom park	12.9779211	77.5796135	https://maps.app.goo.gl/Mq7wMrKW3L5vTukx8	4	Mar-26	East Zone		BBMP Parks
562	HM_Aures	Airforce station-Yelahanka	13.1312616	77.6140883	https://maps.app.goo.gl/4URRZFsESURGkWfe6	19	Mar-26	Yelahanka zone		Defence campus
563	Happiest Minds	BDA NPKL Layout Seegehalli lake Backside Area	12.9754858	77.4474983	https://maps.app.goo.gl/YA7KyHFcvgczCq2m8	57	Mar-26	Outside GBA		BDA Parks
564	Happiest Minds	Kodigehalli Block 1 Nala Buffer	12.9781313	77.4557076	https://maps.app.goo.gl/pVHn6YifLdiXpS379	9	Mar-26	Outside GBA		BDA Parks
565	Happiest Minds	NPKL BLK1 Sector-H STP-1 Area	12.9705087	77.4549863	https://maps.app.goo.gl/cs73HCYrJ4oP2oHH8	4	Mar-26	Outside GBA		BDA Parks
566	Happiest Minds	Banashankari 6th Stage 7th Block Park	12.8804694	77.5062037	https://maps.app.goo.gl/ogiaiW4SuUBubVhR9	3	Mar-26	South Zone		BDA Parks
567	Happiest Minds	Banashankari 4th B block Park	12.8712748	77.5196261	https://maps.app.goo.gl/ga9ZcNVWbLHoM9DP6	13	Mar-26	South Zone		BDA Parks
568	Happiest Minds	Sulikere Muneshwara Temple Area	12.9436875	77.4393087	https://maps.app.goo.gl/vQgbxVrUgMgkejip8	12	Mar-26	Outside GBA		BDA Parks
569	Happiest Minds	Kodigehalli Ganesha Temple Area	12.9761954	77.4596097	https://maps.app.goo.gl/BV2Uobpd71SVhXGW6	42	Mar-26	Outside GBA		BDA Parks
570	Happiest Minds	Hesaraghatta & Rajanukunte KMF				70	Mar-26	Outside GBA		Other state Govt Campus
571	Happiest Minds	Airforce station-Yelahanka	13.1312616	77.6140883	https://maps.app.goo.gl/4URRZFsESURGkWfe6	68	Mar-26	Yelahanka Zone		Defence campus
572	Nucleas office park	BDA NPKL Kodigehalli Village Backside Area	12.9781141	77.4599608	https://maps.app.goo.gl/n2RckRCWfeVF4Q5b8	67	Mar-26	Outside GBA		BDA Parks
573	HM_Puresoftware	Airforce station-Yelahanka	13.1312616	77.6140883	https://maps.app.goo.gl/4URRZFsESURGkWfe6	23	Mar-26	Yelahanka Zone		Defence campus
574	Fortrea Clinical development	Austin Park	12.9625728	77.6140496	https://maps.app.goo.gl/gTzJehHGDXAxPg6KA	4	Mar-26	East Zone		BBMP Parks
575	Fortrea Clinical development	Victoria Park	12.9649134	77.6151954	https://maps.app.goo.gl/aWu6dX3xbS3R7DpCA	4	Mar-26	East Zone		BBMP Parks
576	Fortrea Clinical development	APJ Kalam Park	12.952546	77.6230451	https://maps.app.goo.gl/wxGJbtqgEXu6iWar6	5	Mar-26	East Zone		BBMP Parks
577	Fortrea Clinical development	Richmond Park	12.9633189	77.6017878	https://maps.app.goo.gl/JUZ33hnv8NxmfVqE6	5	Mar-26	East Zone		BBMP Parks
578	Fortrea Clinical development	Nehru Park	12.9575154	77.615692	https://maps.app.goo.gl/9GjFEVoxzL74NbRy6	4	Mar-26	East Zone		BBMP Parks
579	Fortrea development India	Mahatma Gandhi Park	13.0012432	77.5797049	https://maps.app.goo.gl/mdgoaLAUHwQET6uH9	12	Mar-26	East Zone		BBMP Parks
580	Fidelity	Telecom children park 1	13.0499517	77.6363495	https://maps.app.goo.gl/HLQ5GAnhYkEXz5EC7	3	Mar-26	North Zone		BBMP Parks
581	Fidelity	Telecom park	13.042523	77.631764	https://maps.app.goo.gl/nc24NXw7WSbFzWp47	5	Mar-26	North Zone		BBMP Parks
582	Fidelity	Telecom children park 2	13.0488556	77.6323659	https://maps.app.goo.gl/cSEKqv9WCfZPPybU9	4	Mar-26	North Zone		BBMP Parks
583	Fidelity	HBR Layout 4th block park	13.031863	77.631418	https://maps.app.goo.gl/KrvMKE3AgagK35DU6	4	Mar-26	North Zone		BBMP Parks
584	Fidelity	"BDA Park, HBR layout"	13.0326325	77.6293948	https://maps.app.goo.gl/7aDnKp4nuAihcV1W8?g_st=aw	9	Mar-26	North Zone		BBMP Parks
585	Fidelity	"Hoyasala Park,HBR Layout"	13.0250435	77.6261999	https://maps.app.goo.gl/iefwUgRbuk6paHdf9?g_st=aw	8	Mar-26	North Zone		BBMP Parks
586	Fidelity	Pillanna graden park & ground	13.012342	77.617811	https://maps.app.goo.gl/kTN2ecdC5j5aDEDm8	6	Mar-26	North Zone		BBMP Parks
587	Fidelity	Pillanna graden 10th main road park	12.9662976	77.5815168	https://maps.app.goo.gl/hdrP1gWKNz4NvAeu5	6	Mar-26	North Zone		BBMP Parks
588	Fidelity	"Pillanna Graden, Ambedkar park"	13.0103314	77.6189785	https://maps.app.goo.gl/J4R7ZGutESn1oNBYA	9	Mar-26	North Zone		BBMP Parks
589	Fidelity	Vishnuvardhan park	12.9638989	77.6399724	https://maps.app.goo.gl/EE4QbTtnaFHjMk2WA	3	Mar-26	East		BBMP Parks
590	Fidelity	Netaji Park	12.9516785	77.6230251	https://maps.app.goo.gl/7gsKRyWVt1BrAdWm7	7	Mar-26	East		BBMP Parks
591	Fidelity	Austin Town 4th square park	12.9596337	77.6152256	https://maps.app.goo.gl/HovLWVZV4CbX8Nt46	6	Mar-26	East		BBMP Parks
592	Fidelity	Airforce station-Yelahanka	13.131079	77.615029	https://maps.app.goo.gl/XgzJUmtfXGkUhRPd8	95	Mar-26	North Zone		Defence campus
593	Fidelity	Command Hospital	12.9647277	77.628287	https://maps.app.goo.gl/2J6W2PRhiVRmTLCS7	1	Mar-26	East		Defence campus
594	Fidelity	CAR Headquartres	12.962539	77.5613829	https://maps.app.goo.gl/8UqpenUj6eRGkJKC8	8	Mar-26	West		Police campus
595	Fidelity	Kodigehalli Ganesha Temple Area	12.9827588	77.4616448	https://maps.app.goo.gl/EvbbjLcyZhPrXW9i6	4	Mar-26	Outside GBA		BDA Parks
596	Couch base	ITI Limited	13.0037241	77.6794346	https://maps.app.goo.gl/KvEjgir685o1DHbk7	68	Mar-26	Mahadevapura Zone		Others
597	Zebra	Satya sayi hospital	12.9810264	77.7250398	https://maps.app.goo.gl/hLbaGGWzzA1Yq6cG9	55	Mar-26	Mahadevapura Zone		Others
598	Eagle view	Airforce Station Jalahalli East Campus	13.0691541	77.5412789	https://maps.app.goo.gl/4CTgaT3sisT5Tt7BA	37	Mar-26	North Zone		Defence campus
599	Fortrea development India	South City Park	12.8878441	77.5891661	https://share.google/4fTQOZBEh7dWuowfu	22	Mar-26	South zone		BBMP Parks
600	Alstom	BDA Parks - NPKL	12.9154476	77.4613678	https://maps.app.goo.gl/Sboh3Z9GEPs2azyv7?g_st=iw	25	Mar-26	Outside GBA		BDA Parks
601	Alstom	BULL MOTHER FORM hesaragtta	13.1742072	77.5012812	https://share.google/VyxqYjKT4t3IyEZDd	125	Mar-26	Outside GBA		Other state Govt Campus
602	Alstom	NPKL Kodigehalli	12.978751	77.4622429	"12° 58' 43.3949"" N 77° 27' 43.907"" E"	23	Mar-26	Outside GBA		BDA Parks
603	Morgan stanley	Shakthi Ganapathi Park	12.9531563	77.5270569	https://maps.app.goo.gl/4QQrqttufEy35GYi7	2	Mar-26	West Zone		BBMP Parks
604	Morgan stanley	Kuvenpu park	12.9536581	77.5260828	https://maps.app.goo.gl/6U3w4e3FejRCDD298	9	Mar-26	West Zone		BBMP Parks
605	Morgan stanley	Ghana Thejya Perk	13.0155822	77.5476122	https://maps.app.goo.gl/uEqNm7DbqH9KThu89	6	Mar-26	West Zone		BBMP Parks
606	Morgan stanley	ward office Park	12.9962806	77.5347348	https://maps.app.goo.gl/EfzLorqqdw7jPwSQ7	3	Mar-26	West Zone		BBMP Parks
607	Morgan stanley	BENF Park	13.0122957	77.5449377	https://maps.app.goo.gl/v9wQvtRq78qcM2XF8	3	Mar-26	West Zone		BBMP Parks
608	Morgan stanley	Kuvempu Rangamanthira	12.992952	77.5292732	https://maps.app.goo.gl/n2eCy3ZuDXRjLH3A8	3	Mar-26	West Zone		BBMP Parks
609	Morgan stanley	Parimala Park	13.0166471	77.5384717	https://maps.app.goo.gl/RwoErtRX3a6cJaJYA	7	Mar-26	West Zone		BBMP Parks
610	Morgan stanley	Mini forest park	13.0105933	77.5336692	https://maps.app.goo.gl/eqtPHDTV1J7kSEVg6	2	Mar-26	West Zone		BBMP Parks
611	Morgan stanley	"Gangamma templeBDA park, Banashenkari 6 stage"	12.873589	77.5116881	https://maps.app.goo.gl/mzaNNTJADiwpQj3V9	8	Mar-26	West Zone		BDA Parks
612	Morgan stanley	Govt industrial Training institute peenya	13.0262302	77.5323511	https://maps.app.goo.gl/qJ4wRbJiEraRwY339	27	Mar-26	West Zone		Schools and colleges
613	Morgan stanley	Sakkast Ganapathi Park	12.9643826	77.5364035	https://maps.app.goo.gl/Y9TFPzcpNiqjRY2B7	5	Mar-26	West Zone		BBMP Parks
614	Morgan stanley	Muneshwara Park	12.9592159	77.5338772	https://maps.app.goo.gl/kVutzN7LejwfD5aM7	4	Mar-26	West Zone		BBMP Parks
615	Morgan stanley	Aavalahalli BDA Park	12.943871	77.538521	https://maps.app.goo.gl/b3RDTn2tzbAh4WKfA	6	Mar-26	West Zone		BBMP Parks
616	Morgan stanley	NPKL 7TH block BDA park 1	12.923558	77.447196	https://maps.app.goo.gl/RrYh5xB7UsEjociQ7	10	Mar-26	Outside GBA		BDA Parks
617	Morgan stanley	NPKL 7TH block BDA park 2	12.924222	77.447395	https://maps.app.goo.gl/3QDYDonqntbThqZaA	7	Mar-26	Outside GBA		BDA Parks
618	Morgan stanley	NPKL 9TH block BDA park 1	12.951953	77.438498	https://maps.app.goo.gl/aF7vf1uxwTXny9Gm6	16	Mar-26	Outside GBA		BBMP Parks
619	Morgan stanley	NPKL 8TH block Honge tree BDA park	12.947605	77.4381334	https://maps.app.goo.gl/iQFsCPoFyST7k7cq9	14	Mar-26	Outside GBA		BDA Parks
620	Morgan stanley	NPKL 9TH block BDA park 2	12.958055	77.4304699	https://maps.app.goo.gl/dy2df22Xd7ZCtuXg7	8	Mar-26	Outside GBA		BDA Parks
621	Morgan stanley	Ramco layout Park	12.9629529	77.5336419	https://maps.app.goo.gl/QfCg1bNFpom6ZF229	4	Mar-26	West Zone		BBMP Parks
622	Morgan stanley	Vishweshrai park	12.9694168	77.5374134	https://maps.app.goo.gl/Rngwj9dTEd9zh6VB6	4	Mar-26	West Zone		BBMP Parks
623	Morgan stanley	J P Park	12.9704695	77.5431231	https://maps.app.goo.gl/vcRr1HdWkXohNWi8A	1	Mar-26	West Zone		BBMP Parks
624	Morgan stanley	Jiraffe Park	12.9724451	77.5448521	https://maps.app.goo.gl/3gbpEhHw64W5YpCv9	2	Mar-26	West Zone		BBMP Parks
625	Morgan stanley	Salamarada Thimmakka Park	12.9600686	77.5235061	https://maps.app.goo.gl/e1QKWvc9uXtbzVyJA	6	Mar-26	West Zone		BBMP Parks
626	Morgan stanley	Basaveshwara Park	12.9569953	77.5338995	https://maps.app.goo.gl/LhfgUyet9uapiuJo8	4	Mar-26	West Zone		BBMP Parks
627	Morgan stanley	Aattiguppe park (Bidaru park)	12.958066	77.5314075	https://maps.app.goo.gl/2GYXPsQ1NqxFeuiC9	2	Mar-26	West Zone		BBMP Parks
628	Morgan stanley	80ft Park	12.959744	77.6503296	https://maps.app.goo.gl/eQdtwzaqoodDb7td8	4	Mar-26	West Zone		BBMP Parks
629	Morgan stanley	Atal Park	13.0184807	77.5389291	https://maps.app.goo.gl/9TXJFL5sTQrbApJM7	13	Mar-26	West Zone		BBMP Parks
630	Morgan stanley	"Pavanapura BDA Park, 6 stage Bnashenkari"	12.872594	77.516247	https://maps.app.goo.gl/dbTRTGDM2N1a4rKv8	25	Mar-26	South Zone		BDA Parks
631	Morgan stanley	Indra Priyadrashi Paerk	13.013533	77.5391195	https://maps.app.goo.gl/YT8XjASBpbGkDGfs5	5	Mar-26	West Zone		BBMP Parks
632	Morgan stanley	"Yelahanka zone parks,HVV Villas"	13.065506	77.5320397	https://maps.app.goo.gl/BDejJTrZkEU8gJ2B9	38	Mar-26	North Zone		BBMP Parks
633	Morgan stanley	"Overtank Park, Near anjinayya swamy temple"	13.008473	77.546051	https://maps.app.goo.gl/1qR22FxxRPN3JBuv5	10	Mar-26	West Zone		BBMP Parks
634	Morgan stanley	Sidduguru Siddarogha Park	13.003868	77.546546	https://maps.app.goo.gl/ytspQHMXUqdXdQLo9	6	Mar-26	West Zone		BBMP Parks
635	Morgan stanley	Bhovipalya Park	13.005332	77.547185	https://maps.app.goo.gl/frHjT7vKVyPWHYsX6	8	Mar-26	West Zone		BBMP Parks
636	Morgan stanley	"Kuvenpu park, Nandini layout"	13.012595	77.5324791	https://maps.app.goo.gl/xK9ahXtmGVjrnKys5	3	Mar-26	West Zone		BBMP Parks
637	Morgan stanley	"SFHS Park 2, Nnadini Layout"	12.9616396	77.6420224	https://maps.app.goo.gl/9SbE2fWcbt7GgZ2q7	5	Mar-26	West Zone		BBMP Parks
638	Morgan stanley	Abbigere Park	13.0711493	77.5257805	https://maps.app.goo.gl/LyxtderkFU6z3zEo8	11	Mar-26	North Zone		BBMP Parks
639	Morgan stanley	Duggalamma Park	13.0221969	77.5160056	https://maps.app.goo.gl/zt2hTkZgmSeopLLk6	2	Mar-26	North Zone		BBMP Parks
640	Morgan stanley	HMT Layout Park	13.0378871	77.5005302	https://maps.app.goo.gl/uEH9NKhi3RHurgYB8	3	Mar-26	North Zone		BBMP Parks
641	Morgan stanley	Malagada BDA PArk	12.9721989	77.517313	https://maps.app.goo.gl/9KdEbZ9n1sTNoACV8	5	Mar-26	North Zone		BBMP Parks
642	Morgan stanley	Bhangt Singh Park	12.9581589	77.5245453	https://maps.app.goo.gl/jmd7inaMYjniwdd77	4	Mar-26	North Zone		BBMP Parks
643	Morgan stanley	Babuji Park	12.96274	77.5273391	https://maps.app.goo.gl/rqBQXnhX8s6KdNRf8	4	Mar-26	North Zone		BBMP Parks
644	Morgan stanley	Boulevard Park 6 ( Attiguppe Metro)	12.9652411	77.5355098	https://maps.app.goo.gl/r2q27ASHHPjGTRPN7	6	Mar-26	West Zone		BBMP Parks
645	Morgan stanley	HBCS Layout Basaveshwara Park	12.9602812	77.5276593	https://maps.app.goo.gl/DskBw3B1g8eUc1xF8	2	Mar-26	West Zone		BBMP Parks
646	Morgan stanley	Sangolli Rayanna Park	12.9535048	77.5405281	https://maps.app.goo.gl/xPu3ayFFJpbzRiZ98	6	Mar-26	West Zone		BBMP Parks
647	Morgan stanley	Venkateshwara Layout park	12.959744	77.6503296	https://maps.app.goo.gl/sJv94ramCSpLxkb2A	5	Mar-26	West Zone		BBMP Parks
648	Morgan stanley	Laripalya Park				1	Mar-26	West Zone		BBMP Parks
649	Morgan stanley	"Local Park, Nandini Layout park"	13.01357	77.535807	https://maps.app.goo.gl/gQ5DVUHi6imB62E29	6	Mar-26	West Zone		BBMP Parks
650	Morgan stanley	Ramakrishna park	13.0175695	77.5323296	https://maps.app.goo.gl/twVRmw29XVYv62Rw7	5	Mar-26	West Zone		BBMP Parks
651	Morgan stanley	Balmuri Temple park	13.013224	77.535513	https://maps.app.goo.gl/qbTV5oyvpAk5aZAV7	10	Mar-26	West Zone		BBMP Parks
652	Morgan stanley	"Overtanka BDA Park, 8th Block NPGL Layout"	12.935092	77.4471	https://maps.app.goo.gl/XtGUFgZyRYVeEmNx7	12	Mar-26	Outside GBA		BDA Parks
653	Morgan stanley	"STP Near Park, 1th Block NPGL Layout"	12.9703975	77.4555172	https://maps.app.goo.gl/1JAwZgxjfYTX7qtdA	10	Mar-26	Outside GBA		BDA Parks
654	Morgan stanley	"BDA Park 4, 9th block NPGL"	12.958856	77.4417408	https://maps.app.goo.gl/CaF2QG19vy7D15zK8	15	Mar-26	Outside GBA		BDA Parks
655	Morgan stanley	"STP Near Park 2, 1th Block NPGL Layout"	12.9716169	77.4567995	https://maps.app.goo.gl/Zith6rtTkjQ2gcVi6	16	Mar-26	Outside GBA		BDA Parks
656	Morgan stanley	"BDA Park 5, 9th block NPGL"	12.958856	77.4417408	https://maps.app.goo.gl/CaF2QG19vy7D15zK8	5	Mar-26	Outside GBA		BDA Parks
657	Morgan stanley	BDA Park 6 NPGL	12.9069448	77.4586349	https://maps.app.goo.gl/a429ad3L9bF9sqzD6	12	Mar-26	Outside GBA		BDA Parks
658	Morgan stanley	Priyadarshini Park 1	13.0135383	77.5391278	https://maps.app.goo.gl/vpRkNvkgYazYDMgu8	2	Mar-26	West Zone		BBMP Parks
659	Morgan stanley	Priyadarshini Park 2	13.0126313	77.5395475	https://maps.app.goo.gl/YzPyzG3Feq8jAuRMA	8	Mar-26	West Zone		BBMP Parks
660	Morgan stanley	Govt industrial Training institute peenya	13.0262302	77.5323511	https://maps.app.goo.gl/qJ4wRbJiEraRwY339	45	Mar-26	West Zone		Schools and colleges
661	Morgan stanley	"BDA appartment,"	12.9136963	77.4601658	https://maps.app.goo.gl/Mq4QP4NT5gP6mQCi6	25	Mar-26	Outside GBA		Others
662	Morgan stanley	YAS National school & ground (high School)	12.9004742	77.5448929	https://maps.app.goo.gl/sH4NT4PcVDLcg1yR6	23	Mar-26	South		Schools and colleges
663	Morgan stanley	"BDA Park, 1st block & 8th block, NPKL"				50	Mar-26	Outside GBA		BDA Parks
664	Sandisk	HQ K&K Sub Area	12.9771137	77.6051031	https://maps.app.goo.gl/bhhQzKiYdmj2MQDB8	17	Mar-26	East		Defence campus
665	sandisk	"Government Hospital Quarters, Kadugodi"	12.997845	77.7602837	"752, Post Office Road, Kadugodi, Bengaluru, Karnataka 560067"	2	Mar-26	East		Other state Govt Campus
666	sandisk	"Government Junior College, Kadugodi"	12.9990212	77.7534912	https://maps.app.goo.gl/PfkhmDnGtQLafb8R7	3	Mar-26	East		Other state Govt Campus
667	sandisk	NPKL 4 th block park	12.9237019	77.4517025	https://maps.app.goo.gl/8U92xHKT3oVZdih16	48	Mar-26	Outside GBA		BDA Parks
668	sandisk	Traffic Training And Road Safety Institute	13.070791	77.6340788	https://maps.app.goo.gl/gsVf249cf1xbvNpn8	30	Mar-26	North		Police campus
669	sandisk	NPKL Kodigehalli	12.9787208	77.4596215	"12° 58' 43.3949"" N 77° 27' 43.907"" E"	15	Mar-26	Outside GBA		BDA Parks
670	Broadcom_VM Ware	ICAR-NIVEDI	13.1335243	77.4885568	https://share.google/XNCjxkSTvwUhcQXNW	70	Mar-26	Outside GBA		Centra Govt Campus
671	Broadcom_VM Ware	NPKL 4 th block park	12.9237019	77.4517025	https://maps.app.goo.gl/8U92xHKT3oVZdih16	35	Mar-26	Outside GBA		BDA Parks
672	Broadcom_VM Ware	"All India Radio, Hoskote"	13.1769015	77.5012891	https://maps.app.goo.gl/hHRDfR8f13gz4wYZ6	35	Mar-26	Outside GBA		Centra Govt Campus
673	Broadcom_VM Ware	"All India Radio, Hoskote"	13.068436	77.7827	https://maps.app.goo.gl/NzoAw8ZQajTPX2fb9	70	Mar-26	Outside GBA		Centra Govt Campus
674	Broadcom_VM Ware	ICAR CIFA	13.1262478	77.5576651	https://maps.app.goo.gl/5KKpYxtzVfdKsxfT7	52	Mar-26	Outside GBA		Centra Govt Campus
675	Broadcom_VM Ware	NPKL Layout Park 3	12.9826875	77.4593782	"XFM6+3QG Bengaluru, Karnataka"	18	Mar-26	Outside GBA		BDA Parks
676	Broadcom_VM Ware	"All India Radio, Hoskote"	13.1769015	77.5012891	https://maps.app.goo.gl/hHRDfR8f13gz4wYZ6	30	Mar-26	Outside GBA		Centra Govt Campus
677	Broadcom_VM Ware	Calf rearing station Rajanukunte	13.182399	77.5629491	https://goo.gl/maps/XenhzvmGqc8JkhCP6	12	Mar-26	Outside GBA		
678	Broadcom_VM Ware	NPKL Kodigehalli	12.9787208	77.4596215	"https://www.google.com/maps/place/12%C2%B058'43.4%22N+77%C2%B027'43.9%22E/@12.9787208,77.4596215,849m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d12.9787208!4d77.4621964?hl=en&entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"	11	Mar-26	Outside GBA		BDA Parks
679	Novo nordisk	BDA Park	12.9796018	77.4560368	"https://www.google.com/maps/place/12%C2%B058'45.8%22N+77%C2%B027'25.5%22E/@12.9796018,77.4560368,545m/data=!3m1!1e3!4m4!3m3!8m2!3d12.9794!4d77.4570933!5m1!1e1?hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMS4wIKXMDSoASAFQAw%3D%3D"	45	Mar-26	Outside GBA		BDA Parks
680	Novo nordisk	BDA Park				25	Mar-26			BDA Parks
681	Novo nordisk	Satya Sayi Hospital	12.9990212	77.7534912	https://maps.app.goo.gl/PfkhmDnGtQLafb8R7	28	Mar-26	East		Others
682	Novo nordisk	Kadugodi Park				13	Mar-26	East		BBMP Parks
683	Novo nordisk	Kadugodi Junior College	13.182399	77.5629491	https://maps.app.goo.gl/8MJUh2m5KRKWE2qTA	23	Mar-26	East		Other state Govt Campus
684	Novo nordisk	NPKL Layout				6	Mar-26			
685	NXP Semi conductors	Railwheel factory	13.1008517	77.5777865	https://maps.app.goo.gl/Dsfv37Gv5dWmMKtn6	50	Mar-26	Byatarayanapura		Others
686	NXP Semi conductors	Airforce domestic area	13.1349052	77.6247251	https://maps.app.goo.gl/8RMbSEdBM7gsevar9	42	Mar-26	Yelahanka		Defence campus
687	Open text	N Lakshmana Rao Park	12.9191052	77.5799724	https://maps.app.goo.gl/7H1hLk6Ze4R8W6bG6	10	Mar-26	South Zone		BBMP Parks
688	Open text	Ramaiahcity Park-1	12.8832735	77.5852713	https://maps.app.goo.gl/njLpzQZCcRrynuue9	5	Mar-26	South Zone		BBMP Parks
689	Open text	Urban Bengaluru Zilla Panchayat Office	12.9139278	77.5731639	https://maps.app.goo.gl/9TcDPoQxFNDnbtVE6	7	Mar-26	South Zone		Others
690	Open text	Ramaiahcity Park-2 (Children Park)	12.8806755	77.5863611	https://maps.app.goo.gl/vZGEh9o8NsK61Qp3A	5	Mar-26	South Zone		BBMP Parks
691	Open text	Ramaiahcity Park-3 (Arecanut Farm)	12.8808973	77.5861132	https://maps.app.goo.gl/9to6TCY9RRhWWQMKA	2	Mar-26	South Zone		BBMP Parks
692	Open text	Ramaiahcity Park-4 (Cricket Play Ground)	12.8798417	77.5862408	https://maps.app.goo.gl/xj8APDHAD4P5t6yZ88	5	Mar-26	South Zone		BBMP Parks
693	Open text	Ramaiahcity Park-5 (Children Play Ground)	12.8814817	77.5845651	https://maps.app.goo.gl/zkUcSLnTKtGGbQtx5	5	Mar-26	South Zone		BBMP Parks
694	Open text	Ramaiahcity Park-6 (CMC)	12.8851323	77.5876963	https://maps.app.goo.gl/rNomCwGgeuh8FZPo6	2	Mar-26	South Zone		BBMP Parks
695	Open text	Ramaiahcity Park-7 (Sai Baba temple)	12.8820413	77.5855805	https://maps.app.goo.gl/EyeP5u54RR2nWdH29	2	Mar-26	South Zone		BBMP Parks
696	Caterpillar	"All India Radio, Hoskote"	13.068436	77.7827	https://maps.app.goo.gl/NzoAw8ZQajTPX2fb9	15	Mar-26	Outside GBA		Centra Govt Campus
697	Caterpillar	Karnataka Institute of Endocrinology and Research Centre	12.9842178	77.6398121	https://maps.app.goo.gl/S9ViqAK3K6yyAFoD8	11	Mar-26	Central Zone		Other state Govt Campus
698	Caterpillar	"All India Radio, Hoskote"	13.068436	77.7827	https://maps.app.goo.gl/NzoAw8ZQajTPX2fb9	18	Mar-26	Outside GBA		Centra Govt Campus
699	Caterpillar	"Atal Botanical Garden, Hoskote"	13.0309702	77.7533853	https://maps.app.goo.gl/DyJyLRosLo9VNyVz5	40	Mar-26	Outside GBA		Horticulture parks
700	Caterpillar	"Atal Botanical Garden, Hoskote"	13.0309702	77.7533853	https://maps.app.goo.gl/DyJyLRosLo9VNyVz5	50	Mar-26	Outside GBA		Horticulture parks
701	Caterpillar	BDA NPKL Layout 6th Block park 1	12.9084976	77.4415352	https://maps.app.goo.gl/VpTH9TE6KhSFpZ4G6	3	Mar-26	Outside GBA		BDA Parks
702	Caterpillar	BDA NPKL Layout 6th Block park 2	12.908596	77.446822	https://maps.app.goo.gl/1MC4wDZVHGtisMqR6	15	Mar-26	Outside GBA		BDA Parks
703	Caterpillar	BDA NPKL Layout 4th Block Park	12.9246252	77.4503607	https://maps.app.goo.gl/SnrSf9aYG7r9Ad3c8	22	Mar-26	Outside GBA		BDA Parks
704	Caterpillar	"Airforce Campus, Mekhri Circle"				70	Mar-26	Central City corporation		Defence campus
705	Caterpillar	Kodigehalli Block 1 Nala Buffer	12.9781313	77.4557076	https://maps.app.goo.gl/pVHn6YifLdiXpS379	10	Mar-26	Outside GBA		BDA Parks
706	Caterpillar	Kodigehalli Block 1 Nala Buffer	12.9781313	77.4557076	https://maps.app.goo.gl/pVHn6YifLdiXpS379	5	Mar-26	Outside GBA		BDA Parks
707	Caterpillar	Kodigehalli Ganesha Temple Area	12.9761954	77.4596097	"12° 58' 34.3034"" N 77° 27' 43.8646"" E"	67	Mar-26	Outside GBA		BDA Parks
708	Caterpillar	Airforce station-Yelahanka	13.131079	77.615029	https://maps.app.goo.gl/XgzJUmtfXGkUhRPd8	30	Mar-26	Yelahanka Zone		Defence campus
709	Morgan stanley	Location yet to be finalised by PT				70	Mar-26			
										
										
										
										
